!CSV A.01.01,,,
!Keysight Technologies,N5224A,MY56042115,A.10.47.06
!Date: Monday, November 02, 2020 14:25:15,
!Source: Standard,,,
,,,
BEGIN CH1_DATA,,,
Freq(Hz),S21 Log Mag(dB),,
3000000000,-1.8350374,,
3020000000,-1.8164483,,
3040000000,-1.7117094,,
3060000000,-1.4745526,,
3080000000,-1.1689172,,
3100000000,-0.8417303,,
3120000000,-0.52528399,,
3140000000,-0.24095929,,
3160000000,-0.002767329,,
3180000000,0.18024378,,
3200000000,0.30265322,,
3220000000,0.36135995,,
3240000000,0.35497177,,
3260000000,0.28311908,,
3280000000,0.14563954,,
3300000000,-0.058309156,,
3320000000,-0.3312459,,
3340000000,-0.67834008,,
3360000000,-1.1076736,,
3380000000,-1.6300905,,
3400000000,-2.258106,,
3420000000,-3.0037625,,
3440000000,-3.8738708,,
3460000000,-4.8600559,,
3480000000,-5.9195242,,
3500000000,-6.9449062,,
3520000000,-7.7473354,,
3540000000,-8.1116486,,
3560000000,-7.9239793,,
3580000000,-7.2536545,,
3600000000,-6.3025465,,
3620000000,-5.2759252,,
3640000000,-4.3032165,,
3660000000,-3.4423268,,
3680000000,-2.7102742,,
3700000000,-2.1054273,,
3720000000,-1.618717,,
3740000000,-1.23874,,
3760000000,-0.95364851,,
3780000000,-0.75201923,,
3800000000,-0.62306535,,
3820000000,-0.5565846,,
3840000000,-0.54282278,,
3860000000,-0.57224756,,
3880000000,-0.63538623,,
3900000000,-0.72261596,,
3920000000,-0.82412839,,
3940000000,-0.92989802,,
3960000000,-1.0300062,,
3980000000,-1.1150723,,
4000000000,-1.1770518,,
4020000000,-1.2099233,,
4040000000,-1.2103806,,
4060000000,-1.1781582,,
4080000000,-1.1160061,,
4100000000,-1.0292677,,
4120000000,-0.92508471,,
4140000000,-0.81158954,,
4160000000,-0.69699979,,
4180000000,-0.58900815,,
4200000000,-0.4943074,,
4220000000,-0.4183473,,
4240000000,-0.36521953,,
4260000000,-0.33758956,,
4280000000,-0.33670539,,
4300000000,-0.36231813,,
4320000000,-0.41270995,,
4340000000,-0.48464265,,
4360000000,-0.57342529,,
4380000000,-0.67293692,,
4400000000,-0.77586335,,
4420000000,-0.87409657,,
4440000000,-0.95936668,,
4460000000,-1.024039,,
4480000000,-1.0620478,,
4500000000,-1.0697459,,
4520000000,-1.0465196,,
4540000000,-0.99501348,,
4560000000,-0.92087889,,
4580000000,-0.83211923,,
4600000000,-0.738204,,
4620000000,-0.64915061,,
4640000000,-0.57475871,,
4660000000,-0.52394116,,
4680000000,-0.50436753,,
4700000000,-0.5222097,,
4720000000,-0.58204883,,
4740000000,-0.68684059,,
4760000000,-0.83792591,,
4780000000,-1.035043,,
4800000000,-1.2762792,,
4820000000,-1.5580299,,
4840000000,-1.874784,,
4860000000,-2.2187994,,
4880000000,-2.5796216,,
4900000000,-2.9434249,,
4920000000,-3.292439,,
4940000000,-3.6048498,,
4960000000,-3.8559303,,
4980000000,-4.0209141,,
5000000000,-4.0796785,,
5020000000,-4.0219789,,
5040000000,-3.8509946,,
5060000000,-3.5832741,,
5080000000,-3.2450266,,
5100000000,-2.8664794,,
5120000000,-2.4766281,,
5140000000,-2.0998235,,
5160000000,-1.7543776,,
5180000000,-1.4525704,,
5200000000,-1.2013552,,
5220000000,-1.0032625,,
5240000000,-0.85721844,,
5260000000,-0.75924188,,
5280000000,-0.70300353,,
5300000000,-0.68034077,,
5320000000,-0.68177193,,
5340000000,-0.69707847,,
5360000000,-0.71597207,,
5380000000,-0.72884774,,
5400000000,-0.72754568,,
5420000000,-0.70603234,,
5440000000,-0.66086918,,
5460000000,-0.59139746,,
5480000000,-0.49958581,,
5500000000,-0.3895663,,
5520000000,-0.26704669,,
5540000000,-0.13856773,,
5560000000,-0.0108167,,
5580000000,0.11001956,,
5600000000,0.21867691,,
5620000000,0.3111268,,
5640000000,0.38475862,,
5660000000,0.43844113,,
5680000000,0.47247967,,
5700000000,0.48850754,,
5720000000,0.48930213,,
5740000000,0.47851762,,
5760000000,0.46037796,,
5780000000,0.43931359,,
5800000000,0.41956589,,
5820000000,0.40482327,,
5840000000,0.39789569,,
5860000000,0.40045837,,
5880000000,0.41293198,,
5900000000,0.43452933,,
5920000000,0.46341833,,
5940000000,0.49694848,,
5960000000,0.53201401,,
5980000000,0.56542617,,
6000000000,0.59421903,,
6020000000,0.6159327,,
6040000000,0.62887025,,
6060000000,0.63226664,,
6080000000,0.6263063,,
6100000000,0.61212641,,
6120000000,0.5917294,,
6140000000,0.56778234,,
6160000000,0.54336584,,
6180000000,0.52170724,,
6200000000,0.50587332,,
6220000000,0.49840754,,
6240000000,0.50107574,,
6260000000,0.51467788,,
6280000000,0.53893644,,
6300000000,0.57253134,,
6320000000,0.61324805,,
6340000000,0.65822417,,
6360000000,0.70422018,,
6380000000,0.74795336,,
6400000000,0.78641862,,
6420000000,0.81712717,,
6440000000,0.83832657,,
6460000000,0.84912854,,
6480000000,0.84957087,,
6500000000,0.84059757,,
6520000000,0.82397085,,
6540000000,0.80212396,,
6560000000,0.77792454,,
6580000000,0.75441843,,
6600000000,0.73452318,,
6620000000,0.72072208,,
6640000000,0.71479368,,
6660000000,0.71758974,,
6680000000,0.72891897,,
6700000000,0.74753076,,
6720000000,0.77122015,,
6740000000,0.79704356,,
6760000000,0.82159519,,
6780000000,0.84136337,,
6800000000,0.85305947,,
6820000000,0.85392141,,
6840000000,0.84199649,,
6860000000,0.8163445,,
6880000000,0.77717483,,
6900000000,0.72589248,,
6920000000,0.66505921,,
6940000000,0.5982911,,
6960000000,0.52998215,,
6980000000,0.46496874,,
7000000000,0.40812194,,
7020000000,0.3638151,,
7040000000,0.33535069,,
7060000000,0.32452503,,
7080000000,0.33123693,,
7100000000,0.35327199,,
7120000000,0.38634533,,
7140000000,0.42439228,,
7160000000,0.45992348,,
7180000000,0.48453981,,
7200000000,0.48951021,,
7220000000,0.46625203,,
7240000000,0.4066394,,
7260000000,0.3034057,,
7280000000,0.15042016,,
7300000000,-0.057331972,,
7320000000,-0.32351118,,
7340000000,-0.64988673,,
7360000000,-1.0360112,,
7380000000,-1.4785051,,
7400000000,-1.9689122,,
7420000000,-2.4913566,,
7440000000,-3.0194747,,
7460000000,-3.5136497,,
7480000000,-3.9205267,,
7500000000,-4.1802649,,
7520000000,-4.2433543,,
7540000000,-4.0881281,,
7560000000,-3.7308509,,
7580000000,-3.2199953,,
7600000000,-2.6190348,,
7620000000,-1.9881064,,
7640000000,-1.3735123,,
7660000000,-0.80715388,,
7680000000,-0.30832767,,
7700000000,0.11329076,,
7720000000,0.45417854,,
7740000000,0.71472532,,
7760000000,0.89794415,,
7780000000,1.0087162,,
7800000000,1.0523674,,
7820000000,1.0341898,,
7840000000,0.9597435,,
7860000000,0.83403361,,
7880000000,0.66128969,,
7900000000,0.44541842,,
7920000000,0.19007768,,
7940000000,-0.10157354,,
7960000000,-0.42577267,,
7980000000,-0.77563703,,
8000000000,-1.0167228,,
END,,,
